날짜,항목,세부항목,금액,결제방법,승인자,영수증,비고
2026-04-05,관리비,전기요금,285000,계좌이체,담임목사,Y,4월분
2026-04-10,관리비,수도요금,95000,계좌이체,담임목사,Y,4월분
2026-04-10,관리비,인터넷,55000,계좌이체,담임목사,Y,4월분
2026-04-15,인건비,교역자사례비,2500000,계좌이체,장로회,Y,4월 사례비
2026-04-15,인건비,교역자사례비,1800000,계좌이체,장로회,Y,부목사1 4월분
2026-04-15,인건비,교역자사례비,1500000,계좌이체,장로회,Y,부목사2 4월분
2026-04-20,사역비,부서활동비,450000,법인카드,담임목사,Y,청년부 4월 활동비
2026-04-20,사역비,부서활동비,380000,법인카드,담임목사,Y,교회학교 교재구입
2026-04-05,사역비,행사비,1200000,계좌이체,장로회,Y,부활절 행사비용
2026-04-25,선교비,해외선교지원,2000000,계좌이체,장로회,Y,동남아 선교사 월정 지원
